surface,reading,source_ref,commonness_tier
胸,むね,wnja:05387544-n,basic
腕,うで,wnja:02737660-n,basic
腰,こし,wnja:02463403-n,basic
腹,はら,wnja:02157415-n,basic
膝,ひざ,wnja:03622698-n,basic
色,いろ,wnja:04674968-n,basic
茶,ちゃ,wnja:04971928-n,basic
草,くさ,wnja:03990834-n,basic
薬,くすり,wnja:03740161-n,basic
血,ち,wnja:05399847-n,basic
西,にし,wnja:11525614-n,basic
親,おや,wnja:10235549-n,basic
話,はなし,wnja:06514093-n,basic
象,ぞう,wnja:02503517-n,basic
赤,あか,wnja:04962784-n,basic
足,あし,wnja:00286957-n,basic
道,みち,wnja:00174003-n,basic
酒,さけ,wnja:07884567-n,basic
金,かね,wnja:13250542-n,basic
鍋,なべ,wnja:02939185-n,basic
間,あいだ,wnja:00031921-n,basic
雨,あめ,wnja:05045208-n,basic
雲,くも,wnja:09247410-n,basic
青,あお,wnja:04968895-n,basic
音,おと,wnja:04981139-n,basic
頭,あたま,wnja:03501288-n,basic
顔,かお,wnja:04673965-n,basic
風,かぜ,wnja:05667404-n,basic
飯,めし,wnja:07561112-n,basic
首,くび,wnja:00216174-n,basic
駅,えき,wnja:04049098-n,basic
黒,くろ,wnja:02846260-n,basic
おじ,おじ,wnja:10736091-n,basic
お昼,おひる,wnja:07575076-n,basic
お腹,おなか,wnja:02157415-n,basic
お茶,おちゃ,wnja:07577918-n,basic
お金,おかね,wnja:13250542-n,basic
けが,けが,wnja:07313636-n,basic
こと,こと,wnja:00029378-n,basic
ご飯,ごはん,wnja:07804323-n,basic
そば,そば,wnja:08642632-n,basic
ため,ため,wnja:05143077-n,basic
だめ,だめ,wnja:00320742-n,basic
ひげ,ひげ,wnja:05261566-n,basic
ドア,どあ,wnja:03221720-n,basic
パン,ぱん,wnja:03880323-n,basic
レジ,れじ,wnja:02977438-n,basic
一緒,いっしょ,wnja:00146856-n,basic
世界,せかい,wnja:05809878-n,basic
主人,しゅじん,wnja:10054657-n,basic
二人,ふたり,wnja:07976936-n,basic
今夜,こんや,wnja:15263045-n,basic
今日,きょう,wnja:15119536-n,basic
今晩,こんばん,wnja:15263045-n,basic
仕事,しごと,wnja:00575741-n,basic
付近,ふきん,wnja:08641113-n,basic
仮名,かな,wnja:06338158-n,basic
休み,やすみ,wnja:01062997-n,basic
会社,かいしゃ,wnja:08056231-n,basic
住所,じゅうしょ,wnja:06787150-n,basic
価格,かかく,wnja:05138488-n,basic
値段,ねだん,wnja:05145118-n,basic
元気,げんき,wnja:04633453-n,basic
兄弟,きょうだい,wnja:09876454-n,basic
先生,せんせい,wnja:10298482-n,basic
全部,ぜんぶ,wnja:05869584-n,basic
六日,むいか,wnja:06859925-n,basic
出口,でぐち,wnja:00058519-n,basic
勉強,べんきょう,wnja:05755883-n,basic
医者,いしゃ,wnja:10020890-n,basic
午前,ごぜん,wnja:15165289-n,basic
午後,ごご,wnja:15166191-n,basic
半分,はんぶん,wnja:13736799-n,basic
友達,ともだち,wnja:10112591-n,basic
台所,だいどころ,wnja:03619890-n,basic
名前,なまえ,wnja:06333653-n,basic
味噌,みそ,wnja:07857170-n,basic
問題,もんだい,wnja:05169242-n,basic
場所,ばしょ,wnja:00027167-n,basic
夕方,ゆうがた,wnja:15166462-n,basic
外国,がいこく,wnja:08168367-n,basic
大人,おとな,wnja:09605289-n,basic
大学,だいがく,wnja:04511002-n,basic
天気,てんき,wnja:11456462-n,basic
子供,こども,wnja:09917593-n,basic
季節,きせつ,wnja:15236475-n,basic
学生,がくせい,wnja:09936892-n,basic
家族,かぞく,wnja:07970406-n,basic
宿題,しゅくだい,wnja:00729108-n,basic
店員,てんいん,wnja:10548227-n,basic
後ろ,うしろ,wnja:00725775-n,basic
御免,ごめん,wnja:00216174-n,basic
息子,むすこ,wnja:10624074-n,basic
挨拶,あいさつ,wnja:06630017-n,basic
授業,じゅぎょう,wnja:00889472-n,basic
教室,きょうしつ,wnja:03038685-n,basic
明日,あした,wnja:15155891-n,basic
