surface,reading,source_ref,commonness_tier
保養地,ほようち,wnja:08640739-n,general
信憑性,しんぴょうせい,wnja:04670022-n,general
信頼性,しんらいせい,wnja:04670022-n,general
修飾語,しゅうしょくご,wnja:06320801-n,general
候補者,こうほしゃ,wnja:09889691-n,general
借入金,かりいれきん,wnja:13397174-n,general
借家人,しゃくやにん,wnja:10700201-n,general
借用語,しゃくようご,wnja:06293460-n,general
値上げ,ねあげ,wnja:05110107-n,general
値下げ,ねさげ,wnja:00192300-n,general
値引き,ねびき,wnja:00352861-n,general
値打ち,ねうち,wnja:04807050-n,general
倫理学,りんりがく,wnja:06159473-n,general
偏頭痛,へんずつう,wnja:14327707-n,general
傍観者,ぼうかんしゃ,wnja:09885334-n,general
備忘録,びぼうろく,wnja:06415419-n,general
債務者,さいむしゃ,wnja:09997622-n,general
債権者,さいけんしゃ,wnja:09976728-n,general
働き蜂,はたらきばち,wnja:02207805-n,general
優勝者,ゆうしょうしゃ,wnja:09627807-n,general
優越感,ゆうえつかん,wnja:04887790-n,general
元締め,もとじめ,wnja:09761403-n,general
先住民,せんじゅうみん,wnja:09620794-n,general
先入観,せんにゅうかん,wnja:05836921-n,general
先導者,せんどうしゃ,wnja:09849349-n,general
先払い,さきばらい,wnja:01121492-n,general
先行き,さきゆき,wnja:15121625-n,general
先駆け,さきがけ,wnja:09627117-n,general
先駆者,せんくしゃ,wnja:06802571-n,general
光合成,こうごうせい,wnja:13537429-n,general
免許証,めんきょしょう,wnja:06471345-n,general
党大会,とうたいかい,wnja:08309086-n,general
入り江,いりえ,wnja:09215664-n,general
入れ物,いれもの,wnja:02974697-n,general
入場料,にゅうじょうりょう,wnja:13321495-n,general
入門書,にゅうもんしょ,wnja:06421685-n,general
入館料,にゅうかんりょう,wnja:13321495-n,general
全盛期,ぜんせいき,wnja:15295045-n,general
八百万,やおよろず,wnja:05122419-n,general
公務員,こうむいん,wnja:08357258-n,general
公文書,こうぶんしょ,wnja:06479665-n,general
公約数,こうやくすう,wnja:13734992-n,general
共同体,きょうどうたい,wnja:08223802-n,general
共和国,きょうわこく,wnja:08361329-n,general
共謀者,きょうぼうしゃ,wnja:09953483-n,general
共通語,きょうつうご,wnja:06906116-n,general
共食い,ともぐい,wnja:00412839-n,general
具体化,ぐたいか,wnja:00931847-n,general
内容物,ないようぶつ,wnja:07955057-n,general
内視鏡,ないしきょう,wnja:03286572-n,general
内野手,ないやしゅ,wnja:10205457-n,general
再出発,さいしゅっぱつ,wnja:14484646-n,general
再利用,さいりよう,wnja:00948868-n,general
再審理,さいしんり,wnja:00882460-n,general
再構成,さいこうせい,wnja:00338821-n,general
再構築,さいこうちく,wnja:00269258-n,general
再確認,さいかくにん,wnja:06732581-n,general
再評価,さいひょうか,wnja:05737025-n,general
再調整,さいちょうせい,wnja:00194127-n,general
冒険家,ぼうけんか,wnja:09606009-n,general
冒険者,ぼうけんしゃ,wnja:09606009-n,general
写真機,しゃしんき,wnja:02942699-n,general
冠動脈,かんどうみゃく,wnja:05343718-n,general
冷や汗,ひやあせ,wnja:14405774-n,general
冷凍庫,れいとうこ,wnja:03170635-n,general
凝り性,こりしょう,wnja:04896317-n,general
凡ミス,ぼんみす,wnja:00074524-n,general
処方箋,しょほうせん,wnja:06365808-n,general
出不精,でぶしょう,wnja:10653388-n,general
出会い,であい,wnja:00147187-n,general
出来事,できごと,wnja:00029378-n,general
出来心,できごころ,wnja:07490579-n,general
出演者,しゅつえんしゃ,wnja:09765278-n,general
出版物,しゅっぱんぶつ,wnja:06263369-n,general
出版社,しゅっぱんしゃ,wnja:08062623-n,general
出発点,しゅっぱつてん,wnja:00236194-n,general
出身地,しゅっしんち,wnja:08510350-n,general
出迎え,でむかえ,wnja:06630852-n,general
分け前,わけまえ,wnja:00489475-n,general
分岐点,ぶんきてん,wnja:05764613-n,general
分度器,ぶんどき,wnja:04015908-n,general
切り傷,きりきず,wnja:00359238-n,general
切り口,きりくち,wnja:00338641-n,general
切り札,きりふだ,wnja:04490859-n,general
切り株,きりかぶ,wnja:13111504-n,general
切り身,きりみ,wnja:07654667-n,general
切れ味,きれあじ,wnja:04705324-n,general
切れ目,きれめ,wnja:00188007-n,general
切れ端,きれはし,wnja:03286383-n,general
刊行物,かんこうぶつ,wnja:06589574-n,general
刑務所,けいむしょ,wnja:03592245-n,general
初心者,しょしんしゃ,wnja:07948754-n,general
初期化,しょきか,wnja:06636806-n,general
判断力,はんだんりょく,wnja:04891010-n,general
利き手,ききて,wnja:05067007-n,general
到来物,とうらいもの,wnja:13265011-n,general
制定法,せいていほう,wnja:06535222-n,general
刺し傷,さしきず,wnja:14297870-n,general
前任者,ぜんにんしゃ,wnja:10464711-n,general
前掛け,まえかけ,wnja:02730930-n,general
前書き,まえがき,wnja:06397903-n,general
前立腺,ぜんりつせん,wnja:05331404-n,general
前置き,まえおき,wnja:06396930-n,general
前触れ,まえぶれ,wnja:06802571-n,general
副会長,ふくかいちょう,wnja:10751265-n,general
副作用,ふくさよう,wnja:00202816-n,general
割り算,わりざん,wnja:00397953-n,general
創始者,そうししゃ,wnja:10107303-n,general
創業者,そうぎょうしゃ,wnja:10107303-n,general
創造力,そうぞうりょく,wnja:05624700-n,general
創造性,そうぞうせい,wnja:05624700-n,general
劇作家,げきさっか,wnja:10030277-n,general
加入者,かにゅうしゃ,wnja:08170686-n,general
加害者,かがいしゃ,wnja:09821253-n,general
加盟国,かめいこく,wnja:10597234-n,general
加速度,かそくど,wnja:05060783-n,general
劣等感,れっとうかん,wnja:07483120-n,general
助っ人,すけっと,wnja:09815790-n,general
助成金,じょせいきん,wnja:13266892-n,general
助教授,じょきょうじゅ,wnja:09816654-n,general
助言者,じょげんしゃ,wnja:09774266-n,general
労働力,ろうどうりょく,wnja:08180944-n,general
労働者,ろうどうしゃ,wnja:08180639-n,general
効き目,ききめ,wnja:05199869-n,general
効果音,こうかおん,wnja:05917869-n,general
勘違い,かんちがい,wnja:05895723-n,general
勢力圏,せいりょくけん,wnja:08653570-n,general
勤め先,つとめさき,wnja:04602044-n,general
包容力,ほうようりょく,wnja:04637923-n,general
化け物,ばけもの,wnja:05898171-n,general
化合物,かごうぶつ,wnja:05870180-n,general
化学式,かがくしき,wnja:06816935-n,general
化粧室,けしょうしつ,wnja:03238131-n,general
化粧水,けしょうすい,wnja:04448070-n,general
北半球,きたはんきゅう,wnja:08611662-n,general
北極圏,ほっきょくけん,wnja:08496798-n,general
区切り,くぎり,wnja:01062817-n,general
医学生,いがくせい,wnja:10306181-n,general
医療費,いりょうひ,wnja:06517547-n,general
医薬品,いやくひん,wnja:03740161-n,general
十八番,おはこ,wnja:05159225-n,general
十字架,じゅうじか,wnja:03135152-n,general
十字路,じゅうじろ,wnja:03581125-n,general
半導体,はんどうたい,wnja:04171831-n,general
半透明,はんとうめい,wnja:04702351-n,general
卒業生,そつぎょうせい,wnja:08238909-n,general
協力者,きょうりょくしゃ,wnja:09935793-n,general
協議会,きょうぎかい,wnja:06774316-n,general
南半球,みなみはんきゅう,wnja:08652551-n,general
単行本,たんこうぼん,wnja:06410904-n,general
博士号,はくしごう,wnja:06702458-n,general
博物館,はくぶつかん,wnja:03800563-n,general
博覧会,はくらんかい,wnja:08407619-n,general
占い師,うらないし,wnja:10020031-n,general
占星術,せんせいじゅつ,wnja:05778131-n,general
印刷所,いんさつじょ,wnja:04005090-n,general
印刷機,いんさつき,wnja:04000311-n,general
危険性,きけんせい,wnja:00802238-n,general
卵焼き,たまごやき,wnja:07842753-n,general
卸売り,おろしうり,wnja:01114646-n,general
原住民,げんじゅうみん,wnja:09620794-n,general
原作者,げんさくしゃ,wnja:10794014-n,general
原動力,げんどうりょく,wnja:00103834-n,general
原始林,げんしりん,wnja:13240025-n,general
原子力,げんしりょく,wnja:11425989-n,general
原子炉,げんしろ,wnja:02753710-n,general
原材料,げんざいりょう,wnja:14580897-n,general
原生林,げんせいりん,wnja:13240025-n,general
参政権,さんせいけん,wnja:05186306-n,general
参考書,さんこうしょ,wnja:06417598-n,general
双生児,そうせいじ,wnja:10734394-n,general
双眼鏡,そうがんきょう,wnja:02841315-n,general
反作用,はんさよう,wnja:00202816-n,general
反対語,はんたいご,wnja:06288024-n,general
反意語,はんいご,wnja:06288024-n,general
収容所,しゅうようじょ,wnja:02945379-n,general
収穫期,しゅうかくき,wnja:00921790-n,general
収集家,しゅうしゅうか,wnja:09936620-n,general
取っ手,とって,wnja:03485997-n,general
取り柄,とりえ,wnja:04807050-n,general
取引先,とりひきさき,wnja:09984659-n,general
取引所,とりひきじょ,wnja:03077074-n,general
取締役,とりしまりやく,wnja:09770472-n,general
受信機,じゅしんき,wnja:04060647-n,general
受信箱,じゅしんばこ,wnja:03565830-n,general
受動態,じゅどうたい,wnja:13803431-n,general
受取人,うけとりにん,wnja:09627906-n,general
受精卵,じゅせいらん,wnja:01458842-n,general
受話器,じゅわき,wnja:03261776-n,general
受領者,じゅりょうしゃ,wnja:09627906-n,general
口づけ,くちづけ,wnja:00138221-n,general
口コミ,くちこみ,wnja:07223635-n,general
口出し,くちだし,wnja:03520811-n,general
口利き,くちきき,wnja:03795123-n,general
口喧嘩,くちげんか,wnja:07184149-n,general
古文書,こもんじょ,wnja:06515489-n,general
句読点,くとうてん,wnja:06841365-n,general
叫び声,さけびごえ,wnja:07120524-n,general
召使い,めしつかい,wnja:10024119-n,general
可能性,かのうせい,wnja:04756172-n,general
右利き,みぎきき,wnja:05067514-n,general
右翼手,うよくしゅ,wnja:10387196-n,general
司令官,しれいかん,wnja:09941964-n,general
司令部,しれいぶ,wnja:03504420-n,general
司会者,しかいしゃ,wnja:09946814-n,general
合併症,がっぺいしょう,wnja:14074041-n,general
合唱団,がっしょうだん,wnja:08187837-n,general
合気道,あいきどう,wnja:00825331-n,general
合理化,ごうりか,wnja:01009190-n,general
合理性,ごうりせい,wnja:04784978-n,general
合言葉,あいことば,wnja:06674188-n,general
同年代,どうねんだい,wnja:09960417-n,general
同性愛,どうせいあい,wnja:00856847-n,general
同業者,どうぎょうしゃ,wnja:09935990-n,general
同盟国,どうめいこく,wnja:08305942-n,general
同窓会,どうそうかい,wnja:08478371-n,general
同窓生,どうそうせい,wnja:09786338-n,general
同義語,どうぎご,wnja:06303682-n,general
名人芸,めいじんげい,wnja:05638987-n,general
名古屋,なごや,wnja:08923755-n,general
向上心,こうじょうしん,wnja:00836788-n,general
君主制,くんしゅせい,wnja:06219300-n,general
含有量,がんゆうりょう,wnja:13816521-n,general
吸入器,きゅうにゅうき,wnja:03571280-n,general
吸血鬼,きゅうけつき,wnja:01937909-n,general
告別式,こくべつしき,wnja:07451463-n,general
周期表,しゅうきひょう,wnja:08267446-n,general
味わい,あじわい,wnja:05715864-n,general
呼び鈴,よびりん,wnja:03222516-n,general
品揃え,しなぞろえ,wnja:08399818-n,general
哲学者,てつがくしゃ,wnja:10423589-n,general
哺乳類,ほにゅうるい,wnja:01861465-n,general
唐辛子,とうがらし,wnja:07822518-n,general
唸り声,うなりごえ,wnja:07384473-n,general
唾液腺,だえきせん,wnja:05532944-n,general
商売人,しょうばいにん,wnja:10309896-n,general
商業地,しょうぎょうち,wnja:08539072-n,general
問題点,もんだいてん,wnja:05814650-n,general
喫煙者,きつえんしゃ,wnja:10614976-n,general
営業所,えいぎょうしょ,wnja:03953020-n,general
嘘つき,うそつき,wnja:10256537-n,general
噴火口,ふんかこう,wnja:09259219-n,general
噴霧器,ふんむき,wnja:02754103-n,general
四つ角,よつかど,wnja:00146111-n,general
四半期,しはんき,wnja:15206590-n,general
四輪車,よんりんしゃ,wnja:02958343-n,general
回り道,まわりみち,wnja:00350380-n,general
囲炉裏,いろり,wnja:08581699-n,general
固定化,こていか,wnja:01146288-n,general
国有化,こくゆうか,wnja:01151788-n,general
国際化,こくさいか,wnja:01151605-n,general
土壇場,どたんば,wnja:15244942-n,general
圧力鍋,あつりょくなべ,wnja:04001265-n,general
在り方,ありかた,wnja:00024720-n,general
地べた,じべた,wnja:09334396-n,general
地上波,ちじょうは,wnja:11500458-n,general
地下室,ちかしつ,wnja:02800497-n,general
地中海,ちちゅうかい,wnja:09350045-n,general
地滑り,じすべり,wnja:07404944-n,general
地理学,ちりがく,wnja:06122178-n,general
地衣類,ちいるい,wnja:12987056-n,general
地質学,ちしつがく,wnja:06115701-n,general
均質化,きんしつか,wnja:00380994-n,general
執筆者,しっぴつしゃ,wnja:10794014-n,general
堆積岩,たいせきがん,wnja:14698000-n,general
堪忍袋,かんにんぶくろ,wnja:04640538-n,general
報告書,ほうこくしょ,wnja:06409752-n,general
報奨金,ほうしょうきん,wnja:07166281-n,general
塗り絵,ぬりえ,wnja:03071782-n,general
塗り薬,ぬりぐすり,wnja:03673594-n,general
塩入れ,しおいれ,wnja:04131690-n,general
塩加減,しおかげん,wnja:07809368-n,general
塩化物,えんかぶつ,wnja:15016852-n,general
境界線,きょうかいせん,wnja:05748786-n,general
声楽家,せいがくか,wnja:10599806-n,general
売り手,うりて,wnja:10577284-n,general
売上高,うりあげだか,wnja:05112308-n,general
売春婦,ばいしゅんふ,wnja:10485440-n,general
変化球,へんかきゅう,wnja:00107875-n,general
変成岩,へんせいがん,wnja:14698698-n,general
夕ご飯,ゆうごはん,wnja:07575726-n,general
夕暮れ,ゆうぐれ,wnja:11515935-n,general
外交官,がいこうかん,wnja:10013927-n,general
外回り,そとまわり,wnja:05101261-n,general
外用薬,がいようやく,wnja:03845550-n,general
外科医,げかい,wnja:10679174-n,general
外野手,がいやしゅ,wnja:10386874-n,general
多数決,たすうけつ,wnja:05964445-n,general
多数派,たすうは,wnja:05122557-n,general
多様化,たようか,wnja:00195569-n,general
多様性,たようせい,wnja:04735711-n,general
多神教,たしんきょう,wnja:06224305-n,general
多面体,ためんたい,wnja:13883885-n,general
夜尿症,やにょうしょう,wnja:13522485-n,general
夜遊び,よあそび,wnja:00431292-n,general
夢心地,ゆめごこち,wnja:14407536-n,general
大きさ,おおきさ,wnja:05025413-n,general
大さじ,おおさじ,wnja:13770310-n,general
大企業,だいきぎょう,wnja:07967129-n,general
大使館,たいしかん,wnja:00588780-n,general
大動脈,だいどうみゃく,wnja:03519981-n,general
大喜び,おおよろこび,wnja:07490713-n,general
大多数,だいたすう,wnja:05122557-n,general
大学生,だいがくせい,wnja:09936892-n,general
大家族,だいかぞく,wnja:07973653-n,general
大掃除,おおそうじ,wnja:00251013-n,general
大文字,おおもじ,wnja:06824227-n,general
大理石,だいりせき,wnja:14947807-n,general
大発見,だいはっけん,wnja:00151409-n,general
大相撲,おおずもう,wnja:00448232-n,general
大聖堂,だいせいどう,wnja:02984061-n,general
大衆化,たいしゅうか,wnja:00273077-n,general
大西洋,たいせいよう,wnja:09209263-n,general
大規模,だいきぼ,wnja:04729710-n,general
大詰め,おおづめ,wnja:00210797-n,general
大通り,おおどおり,wnja:02763472-n,general
大部分,だいぶぶん,wnja:05122557-n,general
大都市,だいとし,wnja:08226335-n,general
大騒ぎ,おおさわぎ,wnja:00553823-n,general
大黒柱,だいこくばしら,wnja:05694232-n,general
天文学,てんもんがく,wnja:06095022-n,general
天気図,てんきず,wnja:04567222-n,general
太もも,ふともも,wnja:05562249-n,general
太平洋,たいへいよう,wnja:09382990-n,general
太陽光,たいようこう,wnja:11485367-n,general
太陽系,たいようけい,wnja:09439433-n,general
失業者,しつぎょうしゃ,wnja:10737860-n,general
奉公人,ほうこうにん,wnja:10024119-n,general
契約書,けいやくしょ,wnja:06520944-n,general
奥行き,おくゆき,wnja:05094863-n,general
奨学金,しょうがくきん,wnja:13266170-n,general
女王蜂,じょおうばち,wnja:02207345-n,general
好奇心,こうきしん,wnja:03149951-n,general
好景気,こうけいき,wnja:14488813-n,general
好都合,こうつごう,wnja:14446493-n,general
妥協点,だきょうてん,wnja:13791122-n,general
妥当性,だとうせい,wnja:04783567-n,general
姉さん,ねえさん,wnja:10129825-n,general
委員会,いいんかい,wnja:06478988-n,general
委員長,いいんちょう,wnja:09961739-n,general
婚約者,こんやくしゃ,wnja:10085869-n,general
婦人服,ふじんふく,wnja:04596852-n,general
媒酌人,ばいしゃくにん,wnja:10299875-n,general
子会社,こがいしゃ,wnja:08003935-n,general
子午線,しごせん,wnja:08598823-n,general
子守り,こもり,wnja:10345100-n,general
子守歌,こもりうた,wnja:00546738-n,general
季刊誌,きかんし,wnja:06594625-n,general
季節風,きせつふう,wnja:11484570-n,general
学士号,がくしごう,wnja:06698252-n,general
学習机,がくしゅうづくえ,wnja:03179701-n,general
学習者,がくしゅうしゃ,wnja:10251779-n,general
学部長,がくぶちょう,wnja:09996784-n,general
孵卵器,ふらんき,wnja:03567066-n,general
宇宙船,うちゅうせん,wnja:04264914-n,general
守護霊,しゅごれい,wnja:09540055-n,general
安らぎ,やすらぎ,wnja:04904352-n,general
安全性,あんぜんせい,wnja:14539268-n,general
安売り,やすうり,wnja:01117723-n,general
安定性,あんていせい,wnja:04738641-n,general
安楽死,あんらくし,wnja:00219856-n,general
定休日,ていきゅうび,wnja:15137556-n,general
宝くじ,たからくじ,wnja:00508091-n,general
宝飾品,ほうしょくひん,wnja:03597469-n,general
実業家,じつぎょうか,wnja:08113073-n,general
実用性,じつようせい,wnja:05148699-n,general
実験室,じっけんしつ,wnja:03629986-n,general
客引き,きゃくひき,wnja:09839515-n,general
客観性,きゃっかんせい,wnja:04892344-n,general
宣教師,せんきょうし,wnja:10322957-n,general
室内楽,しつないがく,wnja:07026239-n,general
家政婦,かせいふ,wnja:10188715-n,general
容疑者,ようぎしゃ,wnja:09762101-n,general
寄宿舎,きしゅくしゃ,wnja:02857477-n,general
寒暖計,かんだんけい,wnja:04421872-n,general
寝台車,しんだいしゃ,wnja:04236001-n,general
寝起き,ねおき,wnja:01259773-n,general
審判員,しんぱんいん,wnja:10225219-n,general
審査員,しんさいん,wnja:10067968-n,general
審美眼,しんびがん,wnja:05749619-n,general
対流圏,たいりゅうけん,wnja:09462600-n,general
対義語,たいぎご,wnja:06288024-n,general
専門家,せんもんか,wnja:09617867-n,general
専門職,せんもんしょく,wnja:00609953-n,general
導入部,どうにゅうぶ,wnja:06396930-n,general
小休止,しょうきゅうし,wnja:15274695-n,general
小児科,しょうにか,wnja:06061631-n,general
小切手,こぎって,wnja:00562935-n,general
小型化,こがたか,wnja:00360601-n,general
小型車,こがたしゃ,wnja:03079136-n,general
小売店,こうりてん,wnja:03748162-n,general
小売業,こうりぎょう,wnja:01115866-n,general
小心者,しょうしんもの,wnja:09614047-n,general
小悪魔,こあくま,wnja:09540739-n,general
小惑星,しょうわくせい,wnja:09355623-n,general
小文字,こもじ,wnja:06824757-n,general
小説家,しょうせつか,wnja:10363573-n,general
小論文,しょうろんぶん,wnja:06409290-n,general
小遣い,こづかい,wnja:13286254-n,general
少数派,しょうすうは,wnja:05122850-n,general
尿検査,にょうけんさ,wnja:00646332-n,general
屁理屈,へりくつ,wnja:05895138-n,general
居住地,きょじゅうち,wnja:08491027-n,general
居住者,きょじゅうしゃ,wnja:09620078-n,general
居場所,いばしょ,wnja:08683383-n,general
居酒屋,いざかや,wnja:02789487-n,general
屈折率,くっせつりつ,wnja:13824929-n,general
屋台骨,やたいぼね,wnja:03391770-n,general
屋根裏,やねうら,wnja:03686130-n,general
展望台,てんぼうだい,wnja:03688943-n,general
展示会,てんじかい,wnja:08407619-n,general
展覧会,てんらんかい,wnja:00907340-n,general
履歴書,りれきしょ,wnja:06468403-n,general
山椒魚,さんしょううお,wnja:01629276-n,general
山歩き,やまあるき,wnja:00288970-n,general
山登り,やまのぼり,wnja:00325785-n,general
山盛り,やまもり,wnja:13774404-n,general
山積み,やまづみ,wnja:13774404-n,general
山羊座,やぎざ,wnja:09235713-n,general
岩登り,いわのぼり,wnja:00326094-n,general
崖崩れ,がけくずれ,wnja:07405411-n,general
巡洋艦,じゅんようかん,wnja:02811618-n,general
工業化,こうぎょうか,wnja:00923802-n,general
左利き,ひだりきき,wnja:05067367-n,general
左翼手,さよくしゅ,wnja:10387586-n,general
差別化,さべつか,wnja:05748054-n,general
巻積雲,けんせきうん,wnja:09245650-n,general
市役所,しやくしょ,wnja:03036022-n,general
市町村,しちょうそん,wnja:08225581-n,general
市街地,しがいち,wnja:08675967-n,general
市議会,しぎかい,wnja:08311282-n,general
布切れ,ぬのきれ,wnja:03309808-n,general
幕切れ,まくぎれ,wnja:07291312-n,general
幕開け,まくあけ,wnja:05868051-n,general
干し草,ほしくさ,wnja:07802026-n,general
干ばつ,かんばつ,wnja:14537054-n,general
平均台,へいきんだい,wnja:02777292-n,general
平方根,へいほうこん,wnja:13731840-n,general
平面図,へいめんず,wnja:03367147-n,general
年月日,ねんがっぴ,wnja:15120223-n,general
年齢層,ねんれいそう,wnja:07943480-n,general
幸福感,こうふくかん,wnja:07526757-n,general
幾何学,きかがく,wnja:06004685-n,general
広告塔,こうこくとう,wnja:06793426-n,general
広東語,かんとんご,wnja:06930427-n,general
広範囲,こうはんい,wnja:04729710-n,general
度合い,どあい,wnja:05093890-n,general
座布団,ざぶとん,wnja:03151500-n,general
座談会,ざだんかい,wnja:07145314-n,general
廃棄物,はいきぶつ,wnja:14856263-n,general
建築家,けんちくか,wnja:09805475-n,general
建築物,けんちくぶつ,wnja:02734725-n,general
建造物,けんぞうぶつ,wnja:02913152-n,general
弁当箱,べんとうばこ,wnja:03201996-n,general
弁護士,べんごし,wnja:09775663-n,general
引き潮,ひきしお,wnja:07402271-n,general
引き金,ひきがね,wnja:00156390-n,general
引け目,ひけめ,wnja:07483120-n,general
引用文,いんようぶん,wnja:06613056-n,general
引用符,いんようふ,wnja:06844199-n,general
引越し,ひっこし,wnja:00168658-n,general
弦楽器,げんがっき,wnja:04338517-n,general
弱体化,じゃくたいか,wnja:00362355-n,general
張り紙,はりがみ,wnja:06793426-n,general
張本人,ちょうほんにん,wnja:10126177-n,general
強力粉,きょうりきこ,wnja:07569543-n,general
強打者,きょうだしゃ,wnja:09843956-n,general
弾力性,だんりょくせい,wnja:04659287-n,general
当事者,とうじしゃ,wnja:10402824-n,general
形容詞,けいようし,wnja:06319029-n,general
形態素,けいたいそ,wnja:06306233-n,general
彫り師,ほりし,wnja:10058155-n,general
彫り物,ほりもの,wnja:00937656-n,general
彫刻刀,ちょうこくとう,wnja:03455355-n,general
彫刻家,ちょうこくか,wnja:10566072-n,general
影響力,えいきょうりょく,wnja:05194151-n,general
後ろ側,うしろがわ,wnja:04059701-n,general
後付け,あとづけ,wnja:06399337-n,general
後払い,あとばらい,wnja:13374281-n,general
後押し,あとおし,wnja:00112312-n,general
後継者,こうけいしゃ,wnja:05696803-n,general
後遺症,こういしょう,wnja:14550614-n,general
徒競走,ときょうそう,wnja:07460104-n,general
従業員,じゅうぎょういん,wnja:10053808-n,general
得意先,とくいさき,wnja:09984659-n,general
微生物,びせいぶつ,wnja:01326291-n,general
微笑み,ほほえみ,wnja:06878071-n,general
微粒子,びりゅうし,wnja:14585519-n,general
心不全,しんふぜん,wnja:14112255-n,general
心停止,しんていし,wnja:14024581-n,general
心持ち,こころもち,wnja:00026192-n,general
心理学,しんりがく,wnja:06136258-n,general
心臓病,しんぞうびょう,wnja:14103288-n,general
心遣い,こころづかい,wnja:05702726-n,general
心配り,こころくばり,wnja:04841358-n,general
心配性,しんぱいしょう,wnja:10792178-n,general
心電図,しんでんず,wnja:07004057-n,general
必然性,ひつぜんせい,wnja:04754056-n,general
必需品,ひつじゅひん,wnja:02800793-n,general
忍耐力,にんたいりょく,wnja:05032565-n,general
志望者,しぼうしゃ,wnja:09607280-n,general
志願者,しがんしゃ,wnja:09607280-n,general
応募者,おうぼしゃ,wnja:09607280-n,general
応接室,おうせつしつ,wnja:03235042-n,general
応接間,おうせつま,wnja:03235042-n,general
応用力,おうようりょく,wnja:00633329-n,general
思想家,しそうか,wnja:10708292-n,general
思春期,ししゅんき,wnja:15148295-n,general
急上昇,きゅうじょうしょう,wnja:00326291-n,general
急成長,きゅうせいちょう,wnja:07375525-n,general
急降下,きゅうこうか,wnja:00326677-n,general
性自認,せいじにん,wnja:04618359-n,general
性行為,せいこうい,wnja:00844254-n,general
恐怖症,きょうふしょう,wnja:14381416-n,general
恒常性,こうじょうせい,wnja:05708818-n,general
息切れ,いきぎれ,wnja:14370122-n,general
息抜き,いきぬき,wnja:01064148-n,general
息継ぎ,いきつぎ,wnja:15274695-n,general
悪天候,あくてんこう,wnja:14523090-n,general
悪巧み,わるだくみ,wnja:00171618-n,general
悪循環,あくじゅんかん,wnja:13573368-n,general
悪感情,あくかんじょう,wnja:07501545-n,general
悲しみ,かなしみ,wnja:04631470-n,general
情報源,じょうほうげん,wnja:06675122-n,general
意地悪,いじわる,wnja:04780755-n,general
愚か者,おろかもの,wnja:09921409-n,general
愛国心,あいこくしん,wnja:04878101-n,general
愛好家,あいこうか,wnja:09786585-n,general
愛好者,あいこうしゃ,wnja:10077593-n,general
感受性,かんじゅせい,wnja:04842993-n,general
慈しみ,いつくしみ,wnja:07543288-n,general
慣用句,かんようく,wnja:07154330-n,general
慣用語,かんようご,wnja:04929422-n,general
憎しみ,にくしみ,wnja:07503430-n,general
憐れみ,あわれみ,wnja:04829550-n,general
懸賞金,けんしょうきん,wnja:07166281-n,general
成功者,せいこうしゃ,wnja:09762821-n,general
成層圏,せいそうけん,wnja:09448090-n,general
成績表,せいせきひょう,wnja:07220300-n,general
戦闘機,せんとうき,wnja:03335030-n,general
戸惑い,とまどい,wnja:05685030-n,general
所在地,しょざいち,wnja:08491027-n,general
所得税,しょとくぜい,wnja:13310230-n,general
所持品,しょじひん,wnja:13246332-n,general
所有地,しょゆうち,wnja:13244109-n,general
所有権,しょゆうけん,wnja:05181199-n,general
所有物,しょゆうぶつ,wnja:00032613-n,general
所有者,しょゆうしゃ,wnja:10388924-n,general
扁平足,へんぺいそく,wnja:05576421-n,general
手すり,てすり,wnja:02788148-n,general
手入れ,ていれ,wnja:00266806-n,general
手助け,てだすけ,wnja:01207609-n,general
手土産,てみやげ,wnja:13268842-n,general
手引き,てびき,wnja:01144876-n,general
手応え,てごたえ,wnja:01234952-n,general
手抜き,てぬき,wnja:04665813-n,general
手拭い,てぬぐい,wnja:04459362-n,general
手振り,てぶり,wnja:00334509-n,general
手探り,てさぐり,wnja:05721500-n,general
手提げ,てさげ,wnja:03460455-n,general
手数料,てすうりょう,wnja:06478988-n,general
手書き,てがき,wnja:00614730-n,general
手榴弾,しゅりゅうだん,wnja:03458271-n,general
手洗い,てあらい,wnja:04446276-n,general
手直し,てなおし,wnja:00194127-n,general
手続き,てつづき,wnja:00577068-n,general
手荷物,てにもつ,wnja:03487533-n,general
手落ち,ておち,wnja:00074624-n,general
手触り,てざわり,wnja:04946553-n,general
手違い,てちがい,wnja:00074790-n,general
打楽器,だがっき,wnja:03915437-n,general
払戻し,はらいもどし,wnja:01121690-n,general
批評家,ひひょうか,wnja:09979321-n,general
技能者,ぎのうしゃ,wnja:10696251-n,general
技術者,ぎじゅつしゃ,wnja:08436562-n,general
抑止力,よくしりょく,wnja:07254057-n,general
投票所,とうひょうじょ,wnja:08538917-n,general
投票権,とうひょうけん,wnja:05188367-n,general
投票率,とうひょうりつ,wnja:05857165-n,general
投稿者,とうこうしゃ,wnja:09961331-n,general
投資家,とうしか,wnja:10216106-n,general
抗菌薬,こうきんやく,wnja:02716205-n,general
折り紙,おりがみ,wnja:00936456-n,general
抜け殻,ぬけがら,wnja:05240076-n,general
抜け道,ぬけみち,wnja:04204953-n,general
披露宴,ひろうえん,wnja:08254331-n,general
抵抗力,ていこうりょく,wnja:05033410-n,general
担い手,にないて,wnja:08057633-n,general
招待客,しょうたいきゃく,wnja:10150940-n,general
招待状,しょうたいじょう,wnja:07186148-n,general
拝観料,はいかんりょう,wnja:13321495-n,general
